__quarterly__,y,*,y_tnd,*,diff_y_tnd,*,y_gap,*,Y,*,diff_cpi,*,diff4_cpi,*,E_diff_cpi,*,rs,*,rrs_gap,*,rrs,*,cpi,*,obs_y,*,obs_diff_y,*,obs_Y,*,obs_y_gap,*,obs_y_gap4,*,obs_rs,*,obs_cpi,*,obs_diff_cpi,*,shk_y_tnd,*,shk_y_gap,*,shk_diff_cpi,*,shk_rs,*,shk_E_diff_cpi,*,ant_shk_y_gap,*,ant_shk_diff_cpi,*,ant_shk_rs,*,
2005-Q2,960.506177259115,960.506177259115,960.004705534137,960.004705534137,,,0.501471724978,0.501471724978,,,2.157066096991,2.157066096991,2.191915127166,2.191915127166,,,2.863333333,2.863333333,,,,,528.994911670945,528.994911670945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-Q3,961.28872929818,961.28872929818,960.587260361683,960.587260361683,,,0.701468936497,0.701468936497,,,1.342283206016,1.342283206016,2.081821821098,2.081821821098,,,3.36,3.36,,,,,529.330482472449,529.330482472449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-Q4,961.855050904261,961.855050904261,961.139446957203,961.139446957203,,,0.715603947058,0.715603947058,,,2.604567178912,2.604567178912,2.102154278255,2.102154278255,,,3.826666667,3.826666667,,,,,529.981624267177,529.981624267177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-Q1,963.194703474014,963.194703474014,961.658348257559,961.658348257559,,,1.536355216456,1.536355216456,,,2.587717410177,2.587717410177,2.172908473024,2.172908473024,,,4.393333333,4.393333333,,,,,530.628553619721,530.628553619721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-Q2,963.439986140538,963.439986140538,962.14149445208,962.14149445208,,,1.298491688458,1.298491688458,,,2.899518527933,2.899518527933,2.358521580759,2.358521580759,,,4.703333333,4.703333333,,,,,531.353433251705,531.353433251705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-Q3,963.590329256726,963.590329256726,962.587375952107,962.587375952107,,,1.002953304619,1.002953304619,,,2.748252263208,2.748252263208,2.710013845057,2.710013845057,,,4.906666667,4.906666667,,,,,532.040496317507,532.040496317507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-Q4,964.430501599974,964.430501599974,962.995294726284,962.995294726284,,,1.435206873689,1.435206873689,,,2.14617212657,2.14617212657,2.595415081972,2.595415081972,,,4.903333333,4.903333333,,,,,532.577039349149,532.577039349149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-Q1,964.723670300895,964.723670300895,963.365179589073,963.365179589073,,,1.358490711822,1.358490711822,,,2.73813401704,2.73813401704,2.633019233688,2.633019233688,,,4.983333333,4.983333333,,,,,533.261572853409,533.261572853409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-Q2,965.360075470575,965.360075470575,963.697856359229,963.697856359229,,,1.662219111346,1.662219111346,,,2.321349219841,2.321349219841,2.488476906665,2.488476906665,,,4.736666667,4.736666667,,,,,533.841910158369,533.841910158369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-Q3,965.960575512094,965.960575512094,963.994999912203,963.994999912203,,,1.96557559989,1.96557559989,,,2.448021662751,2.448021662751,2.41341925655,2.41341925655,,,4.303333333,4.303333333,,,,,534.453915574057,534.453915574057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-Q4,966.568368704112,966.568368704112,964.259324010393,964.259324010393,,,2.309044693719,2.309044693719,,,3.052690013396,3.052690013396,2.640048728257,2.640048728257,,,3.39,3.39,,,,,535.217088077406,535.217088077406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q1,966.160106974973,966.160106974973,964.494770900945,964.494770900945,,,1.665336074029,1.665336074029,,,2.959344659589,2.959344659589,2.695351388894,2.695351388894,,,2.043333333,2.043333333,,,,,535.956924242304,535.956924242304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q2,966.730770931016,966.730770931016,964.706725983938,964.706725983938,,,2.024044947078,2.024044947078,,,2.456775948069,2.456775948069,2.729208070951,2.729208070951,,,1.626666667,1.626666667,,,,,536.571118229321,536.571118229321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q3,966.202485053,966.202485053,964.901615494498,964.901615494498,,,1.300869558503,1.300869558503,,,3.451405271687,3.451405271687,2.980053973185,2.980053973185,,,1.493333333,1.493333333,,,,,537.433969547243,537.433969547243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q4,963.995205744575,963.995205744575,965.087130695842,965.087130695842,,,-1.091924951267,-1.091924951267,,,1.505984545469,1.505984545469,2.593377606204,2.593377606204,,,0.296666667,0.296666667,,,,,537.81046568361,537.81046568361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q1,962.822635399101,962.822635399101,965.271775894663,965.271775894663,,,-2.449140495561,-2.449140495561,,,1.400365715575,1.400365715575,2.2036328702,2.2036328702,,,0.213333333,0.213333333,,,,,538.160557112504,538.160557112504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q2,962.65325389092,962.65325389092,965.463372944556,965.463372944556,,,-2.810119053636,-2.810119053636,,,1.438876840978,1.438876840978,1.949158093427,1.949158093427,,,0.173333333,0.173333333,,,,,538.520276322748,538.520276322748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q3,963.014530491167,963.014530491167,965.66821298631,965.66821298631,,,-2.653682495143,-2.653682495143,,,0.834622849128,0.834622849128,1.294962487787,1.294962487787,,,0.156666667,0.156666667,,,,,538.72893203503,538.72893203503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q4,964.076830006785,964.076830006785,965.890830836304,965.890830836304,,,-1.814000829519,-1.814000829519,,,1.81099868469,1.81099868469,1.371216022593,1.371216022593,,,0.056666667,0.056666667,,,,,539.181681706203,539.181681706203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q1,964.57563737328,964.57563737328,966.134102759357,966.134102759357,,,-1.558465386077,-1.558465386077,,,0.341684607395,0.341684607395,1.106545745548,1.106545745548,,,0.106666667,0.106666667,,,,,539.267102858051,539.267102858051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q2,965.538689740683,965.538689740683,966.399771269772,966.399771269772,,,-0.861081529089,-0.861081529089,,,0.589826152077,0.589826152077,0.894283073323,0.894283073323,,,0.146666667,0.146666667,,,,,539.414559396071,539.414559396071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q3,966.308860447767,966.308860447767,966.688604840983,966.688604840983,,,-0.379744393216,-0.379744393216,,,0.922698651324,0.922698651324,0.916302023872,0.916302023872,,,0.156666667,0.156666667,,,,,539.645234058902,539.645234058902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q4,966.827110369205,966.827110369205,967.000833770472,967.000833770472,,,-0.173723401266,-0.173723401266,,,1.230377573119,1.230377573119,0.771146745979,0.771146745979,,,0.136666667,0.136666667,,,,,539.952828452181,539.952828452181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q1,966.585903631402,966.585903631402,967.336451015471,967.336451015471,,,-0.750547384069,-0.750547384069,,,2.37160543365,2.37160543365,1.278626952542,1.278626952542,,,0.126666667,0.126666667,,,,,540.545729810594,540.545729810594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q2,967.261665957135,967.261665957135,967.695340956088,967.695340956088,,,-0.433674998954,-0.433674998954,,,2.424307688058,2.424307688058,1.737247336538,1.737247336538,,,0.046666667,0.046666667,,,,,541.151806732608,541.151806732608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q3,967.22289127807,967.22289127807,968.076918880318,968.076918880318,,,-0.854027602247,-0.854027602247,,,3.04827101922,3.04827101922,2.268640428512,2.268640428512,,,0.023333333,0.023333333,,,,,541.913874487413,541.913874487413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q4,968.338325301368,968.338325301368,968.480329029277,968.480329029277,,,-0.142003727909,-0.142003727909,,,2.226405912289,2.226405912289,2.517647513304,2.517647513304,,,0.013333333,0.013333333,,,,,542.470475965486,542.470475965486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q1,969.152921286022,969.152921286022,968.904181876834,968.904181876834,,,0.248739409188,0.248739409188,,,2.070325564199,2.070325564199,2.442327545942,2.442327545942,,,0.066666667,0.066666667,,,,,542.988057356535,542.988057356535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q2,969.607745378211,969.607745378211,969.346999144525,969.346999144525,,,0.260746233686,0.260746233686,,,1.922412045898,1.922412045898,2.316853635402,2.316853635402,,,0.086666667,0.086666667,,,,,543.46866036801,543.46866036801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q3,969.782475613588,969.782475613588,969.80745801602,969.80745801602,,,-0.024982402432,-0.024982402432,,,1.74877425619,1.74877425619,1.991979444644,1.991979444644,,,0.103333333,0.103333333,,,,,543.905853932058,543.905853932058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q4,969.892253403181,969.892253403181,970.284398641378,970.284398641378,,,-0.392145238197,-0.392145238197,,,1.859353240144,1.859353240144,1.900216276608,1.900216276608,,,0.086666667,0.086666667,,,,,544.370692242094,544.370692242094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q1,970.756299299795,970.756299299795,970.776645556662,970.776645556662,,,-0.020346256866,-0.020346256866,,,1.919025997393,1.919025997393,1.862391384906,1.862391384906,,,0.086666667,0.086666667,,,,,544.850448741442,544.850448741442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q2,970.895587468536,970.895587468536,971.282778207156,971.282778207156,,,-0.38719073862,-0.38719073862,,,0.932319321518,0.932319321518,1.614868203811,1.614868203811,,,0.05,0.05,,,,,545.083528571821,545.083528571821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q3,971.684123744181,971.684123744181,971.801363321738,971.801363321738,,,-0.117239577557,-0.117239577557,,,1.978904649966,1.978904649966,1.672400802255,1.672400802255,,,0.033333333,0.033333333,,,,,545.578254734312,545.578254734312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q4,972.392777850684,972.392777850684,972.33072563507,972.33072563507,,,0.062052215614,0.062052215614,,,1.646557198824,1.646557198824,1.619201791925,1.619201791925,,,0.063333333,0.063333333,,,,,545.989894034019,545.989894034019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q1,972.042053795755,972.042053795755,972.869116607081,972.869116607081,,,-0.827062811326,-0.827062811326,,,1.691772349926,1.691772349926,1.562388380059,1.562388380059,,,0.046666667,0.046666667,,,,,546.4128371215,546.4128371215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q2,973.318007678534,973.318007678534,973.414826480334,973.414826480334,,,-0.0968188018,-0.0968188018,,,2.422437689252,2.422437689252,1.934917971992,1.934917971992,,,0.033333333,0.033333333,,,,,547.018446543813,547.018446543813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q3,974.476235889015,974.476235889015,973.965628583134,973.965628583134,,,0.510607305881,0.510607305881,,,1.838264784352,1.838264784352,1.899758005589,1.899758005589,,,0.026666667,0.026666667,,,,,547.478012739901,547.478012739901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q4,974.924224323164,974.924224323164,974.519235732036,974.519235732036,,,0.404988591129,0.404988591129,,,1.762541163234,1.762541163234,1.928753996691,1.928753996691,,,0.023333333,0.023333333,,,,,547.91864803071,547.91864803071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q1,975.734248378674,975.734248378674,975.073679873159,975.073679873159,,,0.660568505515,0.660568505515,,,1.367425747069,1.367425747069,1.847667345977,1.847667345977,,,0.026666667,0.026666667,,,,,548.260504467477,548.260504467477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q2,976.31257427765,976.31257427765,975.627246070495,975.627246070495,,,0.685328207155,0.685328207155,,,2.075510658293,2.075510658293,1.760935588237,1.760935588237,,,0.02,0.02,,,,,548.77938213205,548.77938213205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q3,976.635425225214,976.635425225214,976.178632243348,976.178632243348,,,0.456792981866,0.456792981866,,,2.026382238482,2.026382238482,1.80796495177,1.80796495177,,,0.04,0.04,,,,,549.285977691671,549.285977691671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q4,976.781552753494,976.781552753494,976.726964641155,976.726964641155,,,0.054588112339,0.054588112339,,,1.959921363868,1.959921363868,1.857310001928,1.857310001928,,,0.123333333,0.123333333,,,,,549.775958032638,549.775958032638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q1,977.369003744944,977.369003744944,977.271655008964,977.271655008964,,,0.09734873598,0.09734873598,,,1.728568408359,1.728568408359,1.947595667251,1.947595667251,,,0.286666667,0.286666667,,,,,550.208100134728,550.208100134728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q2,977.67093627625,977.67093627625,977.812149209393,977.812149209393,,,-0.141212933143,-0.141212933143,,,2.136736884418,2.136736884418,1.962902223782,1.962902223782,,,0.256666667,0.256666667,,,,,550.742284355832,550.742284355832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q3,978.270252164766,978.270252164766,978.347953948022,978.347953948022,,,-0.077701783256,-0.077701783256,,,1.723828925167,1.723828925167,1.887263895453,1.887263895453,,,0.296666667,0.296666667,,,,,551.173241587124,551.173241587124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q4,978.765910542638,978.765910542638,978.878487672346,978.878487672346,,,-0.112577129707,-0.112577129707,,,1.583421845724,1.583421845724,1.793139015917,1.793139015917,,,0.43,0.43,,,,,551.569097048555,551.569097048555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q1,979.194653240316,979.194653240316,979.403120266246,979.403120266246,,,-0.20846702593,-0.20846702593,,,1.975574152743,1.975574152743,1.854890452013,1.854890452013,,,0.59,0.59,,,,,552.06299058674,552.06299058674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q2,979.697181431003,979.697181431003,979.921151252897,979.921151252897,,,-0.223969821895,-0.223969821895,,,1.161944033828,1.161944033828,1.611192239366,1.611192239366,,,0.89,0.89,,,,,552.353476595198,552.353476595198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q3,980.521265228803,980.521265228803,980.431749863583,980.431749863583,,,0.08951536522,0.08951536522,,,1.489591513114,1.489591513114,1.552632886352,1.552632886352,,,1.036666667,1.036666667,,,,,552.725874473476,552.725874473476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q4,981.521902202368,981.521902202368,980.933945348446,980.933945348446,,,0.587956853922,0.587956853922,,,2.150207268022,2.150207268022,1.694329241927,1.694329241927,,,1.206666667,1.206666667,,,,,553.263426290482,553.263426290482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q1,982.212168236906,982.212168236906,981.426822904736,981.426822904736,,,0.78534533217,0.78534533217,,,2.696490595093,2.696490595093,1.874558352514,1.874558352514,,,1.56,1.56,,,,,553.937548939255,553.937548939255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q2,982.907090967158,982.907090967158,981.909835202733,981.909835202733,,,0.997255764425,0.997255764425,,,1.91849652932,1.91849652932,2.063696476387,2.063696476387,,,1.84,1.84,,,,,554.417173071585,554.417173071585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q3,983.626532681605,983.626532681605,982.382925753551,982.382925753551,,,1.243606928054,1.243606928054,,,1.457143375598,1.457143375598,2.055584442008,2.055584442008,,,2.04,2.04,,,,,554.781458915484,554.781458915484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q4,983.808150854273,983.808150854273,982.846661353157,982.846661353157,,,0.961489501116,0.961489501116,,,2.201641814127,2.201641814127,2.068443078534,2.068443078534,,,2.316666667,2.316666667,,,,,555.331869369016,555.331869369016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q1,984.349394096585,984.349394096585,983.302386051847,983.302386051847,,,1.047008044737,1.047008044737,,,2.628639412068,2.628639412068,2.051480282778,2.051480282778,,,2.386666667,2.386666667,,,,,555.989029222033,555.989029222033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q2,985.02014844196,985.02014844196,983.752044830856,983.752044830856,,,1.268103611104,1.268103611104,,,1.79840259734,1.79840259734,2.021456799783,2.021456799783,,,2.3,2.3,,,,,556.438629871368,556.438629871368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q3,985.906178053663,985.906178053663,984.198237051447,984.198237051447,,,1.707941002216,1.707941002216,,,2.133539549376,2.133539549376,2.190555843228,2.190555843228,,,1.98,1.98,,,,,556.972014758712,556.972014758712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q4,986.348246384076,986.348246384076,984.644354639638,984.644354639638,,,1.703891744439,1.703891744439,,,2.359237150252,2.359237150252,2.229954677259,2.229954677259,,,1.576666667,1.576666667,,,,,557.561824046275,557.561824046275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q1,985.166132669215,985.166132669215,985.094856984575,985.094856984575,,,0.07127568464,0.07127568464,,,2.439818081086,2.439818081086,2.182749344513,2.182749344513,,,1.11,1.11,,,,,558.171778566546,558.171778566546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q2,976.300128790292,976.300128790292,985.555268407744,985.555268407744,,,-9.255139617451,-9.255139617451,,,-0.22602928688,-0.22602928688,1.676641373458,1.676641373458,,,0.143333333,0.143333333,,,,,558.115271244826,558.115271244826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q3,983.861404196253,983.861404196253,986.031157777932,986.031157777932,,,-2.169753581679,-2.169753581679,,,3.33873764491,3.33873764491,1.977940897342,1.977940897342,,,0.113333333,0.113333333,,,,,558.949955656054,558.949955656054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q4,984.82000815083,984.82000815083,986.522309501665,986.522309501665,,,-1.702301350836,-1.702301350836,,,2.238355176258,2.238355176258,1.947720403843,1.947720403843,,,0.093333333,0.093333333,,,,,559.509544450118,559.509544450118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
