__quarterly__,y,cpi,ad_y,ad_cpi,rs,
1984-Q3,894.78041427236,465.396035015752,3.837784751794,4.469320367661,10.32,
1984-Q4,895.597920710337,466.312457956321,3.270025751908,3.665691762275,8.803333333,
1985-Q1,896.562327621725,467.345169371583,3.857627645554,4.130845661047,8.183333333,
1985-Q2,897.438940472548,468.213122712422,3.50645140329,3.471813363356,7.46,
1985-Q3,898.954518609214,468.951133442184,6.062312546665,2.952042919049,7.106666667,
1985-Q4,899.695096890626,470.07833498881,2.962313125646,4.508806186503,7.166666667,
1986-Q1,900.624291185687,471.073068134864,3.716777180246,3.978932584218,6.896666667,
1986-Q2,901.073657384328,471.879644576542,1.797464794566,3.22630576671,6.14,
1986-Q3,902.026100100679,472.915616576908,3.809770865401,4.143888001465,5.523333333,
1986-Q4,902.561649191299,473.940966148775,2.142196362483,4.101398287469,5.353333333,
1987-Q1,903.303907257601,474.86931624515,2.969032265206,3.713400385498,5.536666667,
1987-Q2,904.376971589713,475.989213089809,4.292257328449,4.479587378636,5.656666667,
1987-Q3,905.240796709892,476.898827121749,3.455300480716,3.638456127758,6.043333333,
1987-Q4,906.94325833699,477.968356061419,6.809846508393,4.278115758681,5.863333333,
1988-Q1,907.458582425837,478.832472908594,2.061296355386,3.456467388699,5.723333333,
1988-Q2,908.763926239583,480.018857330218,5.221375254986,4.745537686497,6.21,
1988-Q3,909.348144669824,481.299703319041,2.336873720965,5.123383955292,7.01,
1988-Q4,910.671845519018,482.457341741891,5.294803396775,4.630553691401,7.726666667,
1989-Q1,911.683310594565,483.575266613461,4.045860302188,4.471699486279,8.54,
1989-Q2,912.44367811648,484.759335177268,3.041470087661,4.73627425523,8.41,
1989-Q3,913.181824097308,485.774308106737,2.952583923312,4.059891717875,7.843333333,
1989-Q4,913.378681180841,486.98394841308,0.787428334129,4.838561225371,7.653333333,
1990-Q1,914.465548734833,488.431592741759,4.347470215968,5.790577314715,7.76,
1990-Q2,914.827803589371,489.609698885395,1.449019418154,4.712424574546,7.746666667,
1990-Q3,914.894293911821,491.069217632262,0.265961289797,5.838074987469,7.476666667,
1990-Q4,913.97972995484,492.168263986485,-3.658255827922,4.396185416892,6.99,
1991-Q1,913.510764444529,493.447393313069,-1.875862041243,5.116517306335,6.023333333,
1991-Q2,914.287458390361,494.402054477674,3.106775783326,3.81864465842,5.56,
1991-Q3,914.791524271861,495.229971708329,2.016263526001,3.31166892262,5.376666667,
1991-Q4,915.139482098104,496.051090714733,1.391831304973,3.284476025616,4.54,
1992-Q1,916.329530423984,496.819161521755,4.76019330352,3.072283228086,3.893333333,
1992-Q2,917.408014425818,497.581377938432,4.313936007334,3.048865666708,3.68,
1992-Q3,918.39127175709,498.314989619224,3.933029325091,2.934446723169,3.083333333,
1992-Q4,919.42875115087,499.133920492797,4.149917575119,3.275723494295,3.07,
1993-Q1,919.595590987726,499.923724914389,0.667359347425,3.159217686365,2.96,
1993-Q2,920.176016707163,500.729639283074,2.321702877748,3.223657474742,2.966666667,
1993-Q3,920.652038510788,501.329841151574,1.904087214498,2.400807473999,3.003333333,
1993-Q4,922.002948059498,502.102557238278,5.403638194841,3.090864346816,3.06,
1994-Q1,922.968583596561,502.69459931392,3.862542148252,2.368168302567,3.243333333,
1994-Q2,924.314583983808,503.370056702725,5.384001548988,2.701829555221,3.986666667,
1994-Q3,924.897418216638,504.17032049568,2.331336931319,3.20105517182,4.476666667,
1994-Q4,926.036425099686,504.793107883995,4.556027532194,2.49114955326,5.28,
1995-Q1,926.39049300904,505.582108650561,1.416271637413,3.156003066262,5.736666667,
1995-Q2,926.688354659529,506.40707366785,1.191446601958,3.299860069159,5.596666667,
1995-Q3,927.535421762916,507.016127341028,3.388268413546,2.436214692712,5.366666667,
1995-Q4,928.212163229115,507.704705961551,2.706965864796,2.75431448209,5.26,
1996-Q1,928.958343694377,508.409226053459,2.98472186105,2.818080367633,4.93,
1996-Q2,930.612471207602,509.047285272817,6.616510052899,2.55223687743,5.02,
1996-Q3,931.505482898306,509.783183933008,3.572046762814,2.943594640764,5.096666667,
1996-Q4,932.538526233189,510.533922956555,4.132173339536,3.002956094191,4.976666667,
1997-Q1,933.182012191241,511.058117725367,2.573943832205,2.096779075246,5.06,
1997-Q2,934.830330580107,511.599580995408,6.593273555466,2.165853080165,5.046666667,
1997-Q3,936.073351538304,512.05852618888,4.972083832788,1.835780773889,5.046666667,
1997-Q4,936.928428872428,512.634210180823,3.420309336497,2.302735967769,5.09,
1998-Q1,937.922843541018,513.245953558801,3.977658674361,2.446973511915,5.053333333,
1998-Q2,938.844404599581,513.77573013399,3.686244234251,2.119106300755,4.976666667,
1998-Q3,940.08938698455,514.36109765925,4.979929539878,2.341470101041,4.823333333,
1998-Q4,941.692656361223,514.962399092745,6.413077506692,2.40520573398,4.253333333,
1999-Q1,942.632056761155,515.425452206366,3.757601599727,1.852212454485,4.406666667,
1999-Q2,943.463589951092,515.886371017287,3.326132759749,1.843675243681,4.453333333,
1999-Q3,944.777941410944,516.364246322143,5.257405839408,1.911501219427,4.65,
1999-Q4,946.407372784693,516.934698525108,6.517725494994,2.281808811857,5.043333333,
2000-Q1,946.771157645587,517.558460116574,1.455139443575,2.495046365866,5.52,
2000-Q2,948.575366479825,518.197079849038,7.216835336952,2.554478929857,5.713333333,
